company,segment,cost_center,account,ico,location,journal_name,period,type,tran_type,Entry Type,USD Amt
B22,84,1953,14450,9089,ATX,CIP Addition USD,Feb,Employee,Additions,Subledger,2370000
A0,27,1953,14450,8416,ATX,CIP Adjustment USD,Feb,Training,Adjustment,Subledger,2350322
C25,78,1953,14450,9686,ATX,CIP Adjustment USD,Feb,Office,Transfers,Subledger,2326667
B22,88,1952,14450,911,ATX,BMY CapexAdvanceReclass Accrual INR,Feb,Insurance,Additions,Manual,2292392
B23,58,1953,14450,1012,ATX,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,2275532
C25,22,1953,14450,4472,ATX,CIP Adjustment USD,Feb,Travel,Adjustment,Subledger,2267555
B22,87,1953,14450,5719,ATX,CIP Addition SEK,Feb,Software,Additions,Subledger,2250091
B23,27,1953,14450,6203,ATX,CIP Adjustment USD,Feb,Office,Transfers,Subledger,2244965
C25,28,1953,14450,879,ATX,CIP Addition USD,Feb,Employee,Additions,Subledger,2244412
C25,84,1953,14450,729,ATX,CIP Addition USD,Feb,Marketing,Additions,Subledger,2242415
A0,39,1953,14450,5192,ATX,CIP Adjustment USD,Feb,Training,Adjustment,Subledger,2227726
C25,36,1953,14450,466,ATX,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,2224530
C25,20,1953,14450,8042,ATX,CIP Adjustment USD,Feb,Services,Transfers,Subledger,2207712
B1,99,1953,14450,3906,ATX,CIP Addition AUD,Feb,Marketing,Additions,Subledger,2172922
A0,59,1953,14450,9969,ATX,CIP Addition USD,Feb,Employee,Additions,Subledger,2161202
C25,52,1953,14450,1296,ATX,CIP Adjustment USD,Feb,Employee,Transfers,Subledger,2100471
A0,43,1953,14450,6492,ATX,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,2057209
B24,19,1953,14450,7236,ATX,CIP Addition USD,Feb,Training,Additions,Subledger,2041952
B24,62,1953,14450,8005,ATX,CIP Addition USD,Feb,Office,Additions,Subledger,2032476
C25,84,1953,14450,514,ATX,CIP Addition USD,Feb,Marketing,Additions,Subledger,2030432
C25,39,1952,14450,2037,ATX,CIP Adjustment THB,Feb,Employee,Adjustment,Subledger,2022916
B1,38,1953,14450,4422,AMS,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,2011613
B24,68,1953,14450,7052,ATX,CIP Addition INR,Feb,Services,Additions,Subledger,2007292
A0,27,1953,14450,2041,ATX,CIP Adjustment USD,Feb,Services,Transfers,Subledger,1971932
B22,83,1952,14450,7075,ATX,CIP Adjustment USD,Feb,Training,Transfers,Subledger,1957103
C25,50,1953,14450,7629,ATX,CIP Addition USD,Feb,Services,Additions,Subledger,1925420
B22,45,1953,14450,3562,ATX,CIP Addition USD,Feb,Office,Additions,Subledger,1925291
C25,72,1952,14450,5956,ATX,CIP Adjustment THB,Feb,Travel,Adjustment,Subledger,1925010
A0,56,1953,14450,3266,ATX,CIP Adjustment USD,Feb,Training,Adjustment,Subledger,1779305
B1,18,1932,14450,1052,ATX,CIP Addition USD,Feb,Employee,Additions,Subledger,1773220
B22,79,1953,14450,1733,ATX,CIP Adjustment USD,Feb,Software,Adjustment,Subledger,1767762
B22,94,1953,14450,9803,ATX,CIP Addition EUR,Feb,Software,Additions,Subledger,1766369
B22,86,1953,14450,6373,ATX,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,1757407
A0,18,1953,14450,4951,ATX,CIP Adjustment CAD,Feb,Rent,Transfers,Subledger,1733372
B22,60,1953,14450,7578,ATX,CIP Addition MXN,Feb,Travel,Additions,Subledger,1733323
B24,48,1932,14450,9077,AUS,CIP Addition USD,Feb,Software,Additions,Subledger,1710394
B22,19,1952,14450,9043,AUS,CIP Addition AUD,Feb,Office,Additions,Subledger,1702227
B22,12,1952,14450,3021,AUS,CIP Adjustment THB,Feb,Training,Adjustment,Subledger,1691504
B24,100,1953,14450,9804,AUS,BMY CapexAdvanceReclass Accrual INR,Feb,Insurance,Additions,Manual,1670906
B1,76,1953,14450,1646,AUS,CIP Adjustment USD,Feb,Insurance,Adjustment,Subledger,1662300
B23,86,1953,14450,7395,AUS,CIP Addition USD,Feb,Office,Additions,Subledger,1630000
C25,35,1999,14450,7285,AUS,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,1629154
B1,73,1953,14450,2775,AUS,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,1616620
B24,71,1915,14450,5961,AUS,CIP Addition USD,Feb,Insurance,Additions,Subledger,1611663
B23,18,1953,14450,5589,AUS,CIP Addition CAD,Feb,Employee,Additions,Subledger,1577325
B24,78,1953,14450,4997,AUS,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,1552195
B22,86,1953,14450,8308,AUS,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,1546007
B23,12,1953,14450,8210,AUS,CIP Adjustment USD,Feb,Software,Transfers,Subledger,1521912
B1,76,1952,14450,4185,AUS,CIP Adjustment USD,Feb,Employee,Transfers,Subledger,1519915
B22,62,1953,14450,9589,AUS,CIP Addition EUR,Feb,Marketing,Additions,Subledger,1510423
B1,85,1932,14450,3116,AUS,CIP Addition USD,Feb,Travel,Additions,Subledger,1509047
B23,68,1953,14450,8641,AUS,CIP Adjustment USD,Feb,Training,Transfers,Subledger,1507120
C25,75,1953,14450,6184,AUS,CIP Adjustment USD,Feb,Insurance,Transfers,Subledger,1501100
B24,62,1915,14450,2490,AUS,CIP Addition USD,Feb,Office,Additions,Subledger,1494363
A0,80,1953,14450,9774,AUS,CIP Adjustment USD,Feb,Office,Adjustment,Subledger,1491450
B24,53,1953,14450,1547,AUV,CIP Adjustment EUR,Feb,Office,Adjustment,Subledger,1472239
B23,47,1953,14450,2368,AVX,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,1462373
B23,97,1953,14450,5535,AAA,CIP Adjustment BRL,Feb,Employee,Adjustment,Subledger,1434415
A0,97,1932,14450,7607,AAA,CIP Addition USD,Feb,Services,Additions,Subledger,1425425
B22,53,1953,14450,4102,AAA,CIP Addition EUR,Feb,Office,Additions,Subledger,1422669
C25,43,1953,14450,1113,AAA,CIP Addition EUR,Feb,Marketing,Additions,Subledger,1419694
B22,79,1953,14450,8855,AAA,CIP Adjustment USD,Feb,Office,Adjustment,Subledger,1405950
A0,16,1953,14450,5614,AAA,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,1402200
A0,11,1952,14450,5578,AAA,CIP Addition USD,Feb,Office,Additions,Subledger,1372732
B1,43,1953,14450,5433,AAA,CIP Adjustment EUR,Feb,Rent,Adjustment,Subledger,1369466
A0,87,1932,14450,8104,AAA,CIP Addition USD,Feb,Services,Additions,Subledger,1365042
A0,64,1953,14450,9929,AAA,BMY CapexAdvanceReclass Accrual INR,Feb,Insurance,Additions,Manual,1364226
B1,78,1953,14450,987,AAA,CIP Adjustment USD,Feb,Marketing,Transfers,Subledger,1354991
B23,64,1932,14450,6775,AAA,CIP Addition USD,Feb,Marketing,Additions,Subledger,1352720
B23,42,1953,14450,8436,AAA,CIP Adjustment USD,Feb,Marketing,Adjustment,Subledger,1351291
B1,14,1952,14450,9187,AAA,CIP Addition EUR,Feb,Office,Additions,Subledger,1350521
B24,22,1953,14450,4274,AAA,CIP Addition USD,Feb,Insurance,Additions,Subledger,1344537
B24,83,1932,14450,9951,AAA,CIP Addition USD,Feb,Office,Additions,Subledger,1336523
B23,55,1953,14450,3324,AAA,CIP Adjustment USD,Feb,Travel,Transfers,Subledger,1327162
B1,19,1953,14450,3180,AAA,CIP Addition USD,Feb,Rent,Additions,Subledger,1325000
B24,36,1953,14450,7946,AAA,CIP Addition USD,Feb,Employee,Additions,Subledger,1321736
C25,16,1915,14450,540,AAA,CIP Addition THB,Feb,Services,Additions,Subledger,1312292
B1,67,1915,14450,719,AAA,CIP Addition USD,Feb,Software,Additions,Subledger,1306135
B1,99,1953,14450,1641,ATX,CIP Addition USD,Feb,Training,Additions,Subledger,1292617
B24,48,1932,14450,2245,ATX,CIP Addition USD,Feb,Rent,Additions,Subledger,1267547
A0,61,1226,14450,2326,ATX,CIP Addition GBP,Feb,Employee,Additions,Subledger,1261417
B1,64,5,14450,2818,AAA,Research Development  DNA US Rebate CIP SOCF correction RCL BMYCAPX RECL Rebates MYR,Feb,Travel,Additions,Manual,1232766
B22,83,1953,14450,8082,ATX,CIP Adjustment USD,Feb,Rent,Transfers,Subledger,1231412
B22,99,1915,14450,9017,AAA,CIP Addition THB,Feb,Rent,Additions,Subledger,1229236
B24,50,1953,14450,4895,AAA,CIP Adjustment USD,Feb,Software,Transfers,Subledger,1226510
A0,82,1952,14450,1108,ATX,CIP Adjustment USD,Feb,Training,Transfers,Subledger,1226365
B24,65,1953,14450,9233,AAA,CIP Adjustment USD,Feb,Marketing,Adjustment,Subledger,1225162
B24,66,1953,14450,6751,AAA,CIP Addition EUR,Feb,Employee,Additions,Subledger,1225024
B22,60,1953,14450,5813,ATX,CIP Addition USD,Feb,Travel,Additions,Subledger,1224340
C25,82,1952,14450,2318,AAA,CIP Addition GBP,Feb,Employee,Additions,Subledger,1222420
C25,88,1953,14450,2162,ATX,CIP Addition USD,Feb,Training,Additions,Subledger,1222000
B23,12,1953,14450,6000,ATX,CIP Addition USD,Feb,Insurance,Additions,Subledger,1222000
A0,85,1953,14450,2700,ATX,CIP Addition USD,Feb,Training,Additions,Subledger,1222000
B1,92,1953,14450,7358,ATX,CIP Addition USD,Feb,Office,Additions,Subledger,1222000
A0,81,1953,14450,3183,ATX,CIP Addition USD,Feb,Marketing,Additions,Subledger,1222000
A0,43,1953,14450,8057,ATX,CIP Addition USD,Feb,Services,Additions,Subledger,1222000
A0,51,1953,14450,6882,AAA,CIP Addition USD,Feb,Marketing,Additions,Subledger,1221423
A0,33,1915,14450,2335,AAA,CIP Addition MXN,Feb,Office,Additions,Subledger,1220037
C25,28,1953,14450,4219,ATX,CIP Addition USD,Feb,Marketing,Additions,Subledger,1206000
A0,72,1953,14450,7637,ATX,CIP Addition USD,Feb,Travel,Additions,Subledger,1206000
